;TotalTime;avg_complete_time;completed;group;group_user_id;puzzle;order
Pi Henge;1.68;1.73;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;Pi Henge;12.0
45-Degree Rotations;2.5;2.94;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;45-Degree Rotations;13.0
Sandbox;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;Sandbox;
Pyramids are Strange;1.29;1.32;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;Pyramids are Strange;14.0
Boxes Obscure Spheres;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~476c86cda40e6f3a762d65030a131dd2;Boxes Obscure Spheres;15.0
1. One Box;0.45;0.87;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;1. One Box;1.0
2. Separated Boxes;0.85;0.88;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;2. Separated Boxes;2.0
3. Rotate a Pyramid;0.48;0.82;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;3. Rotate a Pyramid;3.0
4. Match Silhouettes;2.72;2.79;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;4. Match Silhouettes;4.0
5. Removing Objects;5.08;5.14;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;5. Removing Objects;5.0
6. Stretch a Ramp;0.44;0.51;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;6. Stretch a Ramp;6.0
7. Max 2 Boxes;1.36;1.42;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;7. Max 2 Boxes;7.0
Sandbox;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;Sandbox;
8. Combine 2 Ramps;1.05;1.06;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;8. Combine 2 Ramps;8.0
9. Scaling Round Objects;3.49;3.53;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;9. Scaling Round Objects;9.0
Square Cross-Sections;3.64;1.18;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;Square Cross-Sections;10.0
Bird Fez;5.66;8.45;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;Bird Fez;11.0
Pi Henge;1.2;1.15;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;Pi Henge;12.0
45-Degree Rotations;2.76;2.87;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;45-Degree Rotations;13.0
Pyramids are Strange;4.13;5.09;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;Pyramids are Strange;14.0
Boxes Obscure Spheres;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;Boxes Obscure Spheres;15.0
Object Limits;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;Object Limits;16.0
Tetromino;0.63;0.69;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;Tetromino;
Angled Silhouette;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~bd6a63c5523e2eced8f2dc3bd2aaea5e;Angled Silhouette;18.0
1. One Box;1.89;1.94;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;1. One Box;1.0
2. Separated Boxes;0.89;1.02;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;2. Separated Boxes;2.0
3. Rotate a Pyramid;2.21;2.45;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;3. Rotate a Pyramid;3.0
4. Match Silhouettes;1.04;1.1;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;4. Match Silhouettes;4.0
5. Removing Objects;13.41;13.5;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;5. Removing Objects;5.0
6. Stretch a Ramp;2.29;2.38;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;6. Stretch a Ramp;6.0
7. Max 2 Boxes;1.99;2.02;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;7. Max 2 Boxes;7.0
8. Combine 2 Ramps;2.2;2.24;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;8. Combine 2 Ramps;8.0
9. Scaling Round Objects;4.18;4.22;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;9. Scaling Round Objects;9.0
Square Cross-Sections;3.78;3.84;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;Square Cross-Sections;10.0
Bird Fez;1.87;1.93;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;Bird Fez;11.0
Pi Henge;1.31;1.39;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;Pi Henge;12.0
45-Degree Rotations;2.24;2.3;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;45-Degree Rotations;13.0
Pyramids are Strange;3.84;4.27;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;Pyramids are Strange;14.0
Boxes Obscure Spheres;14.83;46.1;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;Boxes Obscure Spheres;15.0
Object Limits;9.23;7.2;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;Object Limits;16.0
Tetromino;0.29;10.81;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;Tetromino;
Sandbox;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~5c5f8fb35c0db55cea793e0b85c01d19;Sandbox;
1. One Box;0.99;0.98;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee;1. One Box;1.0
2. Separated Boxes;1.0;1.14;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee;2. Separated Boxes;2.0
3. Rotate a Pyramid;2.67;2.84;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee;3. Rotate a Pyramid;3.0
4. Match Silhouettes;4.95;5.15;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee;4. Match Silhouettes;4.0
5. Removing Objects;5.3;5.4;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee;5. Removing Objects;5.0
6. Stretch a Ramp;8.49;8.54;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee;6. Stretch a Ramp;6.0
7. Max 2 Boxes;0.86;1.26;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee;7. Max 2 Boxes;7.0
8. Combine 2 Ramps;12.12;9.8;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee;8. Combine 2 Ramps;8.0
9. Scaling Round Objects;3.5;10.32;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee;9. Scaling Round Objects;9.0
Square Cross-Sections;10.06;2.3;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee;Square Cross-Sections;10.0
Bird Fez;10.65;8.86;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee;Bird Fez;11.0
Pi Henge;3.98;2.32;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee;Pi Henge;12.0
45-Degree Rotations;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~3c32dab9a9041d872c3d1dc527a8caee;45-Degree Rotations;13.0
1. One Box;1.04;1.04;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6;1. One Box;1.0
2. Separated Boxes;1.28;1.36;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6;2. Separated Boxes;2.0
3. Rotate a Pyramid;1.23;1.46;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6;3. Rotate a Pyramid;3.0
4. Match Silhouettes;0.88;0.94;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6;4. Match Silhouettes;4.0
5. Removing Objects;0.73;1.14;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6;5. Removing Objects;5.0
6. Stretch a Ramp;1.86;1.91;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6;6. Stretch a Ramp;6.0
7. Max 2 Boxes;1.86;1.89;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6;7. Max 2 Boxes;7.0
8. Combine 2 Ramps;3.48;3.63;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6;8. Combine 2 Ramps;8.0
9. Scaling Round Objects;3.16;3.21;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6;9. Scaling Round Objects;9.0
Square Cross-Sections;2.0;2.1;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6;Square Cross-Sections;10.0
Bird Fez;10.14;10.19;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6;Bird Fez;11.0
Pi Henge;2.04;2.09;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6;Pi Henge;12.0
45-Degree Rotations;3.97;4.03;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6;45-Degree Rotations;13.0
Pyramids are Strange;10.35;10.65;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6;Pyramids are Strange;14.0
Boxes Obscure Spheres;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~a7cd72c73f26587b48a0800d7e3d1fa6;Boxes Obscure Spheres;15.0
45-Degree Rotations;1.49;8.2;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;45-Degree Rotations;13.0
1. One Box;0.47;0.6;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;1. One Box;1.0
2. Separated Boxes;1.35;1.4;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;2. Separated Boxes;2.0
3. Rotate a Pyramid;0.68;0.72;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;3. Rotate a Pyramid;3.0
4. Match Silhouettes;2.35;2.41;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;4. Match Silhouettes;4.0
5. Removing Objects;0.65;0.88;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;5. Removing Objects;5.0
6. Stretch a Ramp;3.81;3.76;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;6. Stretch a Ramp;6.0
7. Max 2 Boxes;1.12;1.18;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;7. Max 2 Boxes;7.0
8. Combine 2 Ramps;2.47;2.94;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;8. Combine 2 Ramps;8.0
9. Scaling Round Objects;5.59;5.65;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;9. Scaling Round Objects;9.0
Square Cross-Sections;7.95;1.33;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;Square Cross-Sections;10.0
Bird Fez;7.18;13.14;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;Bird Fez;11.0
Pi Henge;6.19;6.24;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;Pi Henge;12.0
Pyramids are Strange;2.61;2.69;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;Pyramids are Strange;14.0
Boxes Obscure Spheres;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;Boxes Obscure Spheres;15.0
Object Limits;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;Object Limits;16.0
Tetromino;0.6;0.67;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;Tetromino;
Angled Silhouette;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;Angled Silhouette;18.0
Sugar Cones;1.25;1.63;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;Sugar Cones;19.0
Stranger Shapes;0.0;0.0;0.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~b25afda10342aa07780ccf349f6f3015;Stranger Shapes;20.0
1. One Box;1.55;1.66;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b;1. One Box;1.0
2. Separated Boxes;1.88;2.12;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b;2. Separated Boxes;2.0
3. Rotate a Pyramid;3.11;3.06;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b;3. Rotate a Pyramid;3.0
4. Match Silhouettes;1.45;1.52;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b;4. Match Silhouettes;4.0
5. Removing Objects;6.24;5.06;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b;5. Removing Objects;5.0
6. Stretch a Ramp;6.88;6.94;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b;6. Stretch a Ramp;6.0
7. Max 2 Boxes;0.9;0.85;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b;7. Max 2 Boxes;7.0
8. Combine 2 Ramps;6.12;6.97;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b;8. Combine 2 Ramps;8.0
9. Scaling Round Objects;6.61;6.6;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b;9. Scaling Round Objects;9.0
Square Cross-Sections;6.86;6.81;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b;Square Cross-Sections;10.0
Bird Fez;4.41;1.62;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b;Bird Fez;11.0
Pi Henge;1.12;1.16;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b;Pi Henge;12.0
45-Degree Rotations;4.98;1.27;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b;45-Degree Rotations;13.0
Pyramids are Strange;4.64;4.77;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~ac5b8161e38c3ac6753b0654de52823b;Pyramids are Strange;14.0
1. One Box;0.46;0.53;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~54417fb66f18dc9566731e6f9033ba7c;1. One Box;1.0
2. Separated Boxes;3.45;3.6;1.0;cb71040b5bd1341a34afc24961536ebd;cb71040b5bd1341a34afc24961536ebd~54417fb66f18dc9566731e6f9033ba7c;2. Separated Boxes;2.0
