n_attempt;group;user;task_id;cum_this_puzzle_attempt;timestamp;percentage_tutorial;percentage_intermediate;percentage_advanced;attempts_per_puzzle;user_elo;puzzle_elo;puzzle_difficulty;n_events;n_check_solution;bestSubmit;n_breaks;n_manipulation_events;n_snapshot;n_rotate_view;completed;1. One Box;2. Separated Boxes;3. Rotate a Pyramid;4. Match Silhouettes;45-Degree Rotations;5. Removing Objects;6. Stretch a Ramp;7. Max 2 Boxes;8. Combine 2 Ramps;9. Scaling Round Objects;Angled Silhouette;Bear Market;Bird Fez;Boxes Obscure Spheres;Bull Market;Few Clues;More Than Meets Your Eye;Not Bird;Object Limits;Orange Dance;Pi Henge;Pyramids are Strange;Ramp Up and Can It;Sandbox;Square Cross-Sections;Stranger Shapes;Sugar Cones;Tall and Small;Tetromino;Unnecessary;Warm Up;Zzz
10;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Bear Market;2;2019-09-09 13:48:16.187492-04:00;33.33;0.0;0.0;3.33;0.0;3.0;1.0;222.0;0.0;0.0;0.0;79.0;0.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;4. Match Silhouettes;3;2019-09-09 13:57:42.045015-04:00;33.33;0.0;0.0;3.67;0.0;0.42;0.06;32.0;1.0;100.0;0.0;5.0;0.0;17.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;8. Combine 2 Ramps;1;2019-09-09 13:58:55.405365-04:00;44.44;0.0;0.0;3.0;0.0;0.57;0.07;32.0;1.0;100.0;0.0;12.0;0.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;9. Scaling Round Objects;2;2019-09-09 14:00:18.912969-04:00;55.56;0.0;0.0;2.6;0.0;0.58;0.13;39.0;1.0;33.33;0.0;16.0;0.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Square Cross-Sections;1;2019-09-09 14:06:19.293103-04:00;66.67;0.0;0.0;2.33;0.0;0.99;0.2;57.0;1.0;33.33;0.0;14.0;0.0;16.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Bird Fez;1;2019-09-09 14:13:12.491502-04:00;66.67;11.11;0.0;2.14;0.12;1.77;0.16;194.0;0.0;0.0;0.0;44.0;1.0;93.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Pi Henge;1;2019-09-09 14:16:07.487901-04:00;66.67;22.22;0.0;2.12;0.2;1.26;0.07;73.0;1.0;100.0;0.0;26.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;45-Degree Rotations;1;2019-09-09 14:16:19.943516-04:00;66.67;33.33;0.0;2.0;0.26;0.78;0.1;35.0;1.0;100.0;0.0;15.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Pyramids are Strange;1;2019-09-09 14:16:25.811744-04:00;66.67;44.44;0.0;1.9;0.33;1.29;0.18;88.0;2.0;100.0;0.0;39.0;0.0;12.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Boxes Obscure Spheres;1;2019-09-09 14:16:40.587532-04:00;66.67;55.56;0.0;1.82;0.45;1.91;0.27;16.0;1.0;66.67;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Pyramids are Strange;2;2019-09-09 14:16:42.954154-04:00;66.67;55.56;0.0;1.91;0.45;1.29;0.18;60.0;1.0;100.0;0.0;28.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Boxes Obscure Spheres;2;2019-09-09 14:16:59.408999-04:00;66.67;55.56;0.0;1.91;0.45;1.91;0.27;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Boxes Obscure Spheres;3;2019-09-10 13:27:16.295043-04:00;66.67;55.56;0.0;2.09;0.45;1.91;0.27;71.0;0.0;0.0;5.0;18.0;0.0;27.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Object Limits;1;2019-09-10 13:40:39.894777-04:00;66.67;66.67;0.0;2.0;0.58;1.62;0.26;49.0;0.0;0.0;0.0;7.0;0.0;26.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Object Limits;2;2019-09-10 13:44:34.784003-04:00;66.67;77.78;0.0;1.92;0.71;1.62;0.26;19.0;1.0;100.0;0.0;5.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Tetromino;1;2019-09-10 13:46:08.981508-04:00;66.67;77.78;0.0;1.92;0.71;1.74;0.23;14.0;1.0;100.0;1.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
26;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Angled Silhouette;1;2019-09-10 13:46:45.283227-04:00;66.67;77.78;7.69;1.86;0.83;1.35;0.15;26.0;1.0;100.0;0.0;9.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Sugar Cones;2;2019-09-10 13:47:50.161840-04:00;66.67;88.89;7.69;1.8;0.93;0.9;0.09;24.0;0.0;0.0;0.0;11.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
28;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Stranger Shapes;1;2019-09-10 13:51:26.018549-04:00;66.67;88.89;15.38;1.75;0.98;1.7;0.28;61.0;1.0;100.0;0.0;19.0;0.0;13.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
29;cb71040b5bd1341a34afc24961536ebd;56ccce25ead834182d605eff319bfa2c;Tall and Small;1;2019-09-10 13:53:22.263676-04:00;66.67;88.89;23.08;1.71;1.09;1.73;0.27;106.0;0.0;0.0;0.0;34.0;0.0;34.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
30;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;1. One Box;1;2019-09-09 13:29:58.878709-04:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;1.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;2. Separated Boxes;1;2019-09-09 13:30:32.800475-04:00;11.11;0.0;0.0;2.0;0.0;0.12;0.11;14.0;1.0;100.0;0.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;3. Rotate a Pyramid;1;2019-09-09 13:31:11.301267-04:00;22.22;0.0;0.0;1.5;0.0;0.23;0.08;12.0;1.0;100.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;4. Match Silhouettes;1;2019-09-09 13:31:48.114365-04:00;33.33;0.0;0.0;1.33;0.0;0.42;0.06;13.0;1.0;100.0;1.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;5. Removing Objects;1;2019-09-09 13:32:28.946061-04:00;44.44;0.0;0.0;1.25;0.0;0.48;0.11;51.0;0.0;0.0;0.0;14.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;6. Stretch a Ramp;1;2019-09-09 13:39:56.470356-04:00;55.56;0.0;0.0;1.2;0.0;0.42;0.11;40.0;2.0;0.0;0.0;20.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;7. Max 2 Boxes;1;2019-09-09 13:44:06.913646-04:00;66.67;0.0;0.0;1.17;0.0;0.6;0.08;26.0;0.0;0.0;0.0;9.0;1.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;8. Combine 2 Ramps;1;2019-09-09 13:49:09.095690-04:00;77.78;0.0;0.0;1.71;0.0;0.57;0.07;36.0;2.0;100.0;0.0;14.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;9. Scaling Round Objects;1;2019-09-09 13:50:37.049467-04:00;88.89;0.0;0.0;1.62;0.0;0.58;0.13;50.0;2.0;33.33;0.0;16.0;0.0;12.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Square Cross-Sections;1;2019-09-09 13:53:54.864841-04:00;100.0;0.0;0.0;1.67;0.0;0.99;0.2;42.0;1.0;66.67;0.0;13.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Bear Market;1;2019-09-09 13:55:38.559441-04:00;100.0;0.0;0.0;1.78;0.0;3.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Square Cross-Sections;2;2019-09-09 13:55:54.816700-04:00;100.0;0.0;0.0;2.0;0.0;0.99;0.2;38.0;1.0;66.67;2.0;7.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Bird Fez;1;2019-09-09 14:07:40.446621-04:00;100.0;11.11;0.0;2.3;0.1;1.77;0.16;58.0;5.0;100.0;0.0;19.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Pi Henge;1;2019-09-09 14:10:07.782430-04:00;100.0;22.22;0.0;2.18;0.17;1.26;0.07;40.0;0.0;0.0;0.0;16.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;45-Degree Rotations;1;2019-09-09 21:04:55.874008-04:00;100.0;33.33;0.0;2.5;0.23;0.78;0.1;52.0;1.0;0.0;0.0;22.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Sandbox;1;2019-09-09 20:58:15.775176-04:00;100.0;33.33;0.0;2.25;0.23;0.0;0.0;69.0;0.0;0.0;4.0;5.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Bird Fez;2;2019-09-09 21:01:58.249869-04:00;100.0;33.33;0.0;2.5;0.23;1.77;0.16;56.0;1.0;100.0;2.0;16.0;0.0;14.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Square Cross-Sections;3;2019-09-09 21:03:43.754155-04:00;100.0;33.33;0.0;2.5;0.23;0.99;0.2;38.0;1.0;100.0;0.0;9.0;0.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Pyramids are Strange;1;2019-09-10 13:33:35.189998-04:00;100.0;44.44;0.0;2.54;0.29;1.29;0.18;37.0;1.0;100.0;2.0;15.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49;cb71040b5bd1341a34afc24961536ebd;476c86cda40e6f3a762d65030a131dd2;Boxes Obscure Spheres;1;2019-09-10 13:34:57.189334-04:00;100.0;55.56;0.0;2.43;0.4;1.91;0.27;46.0;2.0;66.67;2.0;10.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
